pclass;survived;sex;age;edad;clase;sobreviviente;
1;1;1;female;29;ADULTO;PRIMERA;SI
2;1;1;male;0;MENOR;PRIMERA;SI
3;1;0;female;2;MENOR;PRIMERA;NO
4;1;0;male;30;ADULTO;PRIMERA;NO
5;1;0;female;25;ADULTO;PRIMERA;NO
6;1;1;male;48;ADULTO;PRIMERA;SI
7;1;1;female;63;ADULTO;PRIMERA;SI
8;1;0;male;39;ADULTO;PRIMERA;NO
9;1;1;female;53;ADULTO;PRIMERA;SI
10;1;0;male;71;ADULTO;PRIMERA;NO
11;1;0;male;47;ADULTO;PRIMERA;NO
12;1;1;female;18;ADULTO;PRIMERA;SI
13;1;1;female;24;ADULTO;PRIMERA;SI
14;1;1;female;26;ADULTO;PRIMERA;SI
15;1;1;male;80;ADULTO;PRIMERA;SI
16;1;0;male;0;ADULTO;PRIMERA;NO
17;1;0;male;24;ADULTO;PRIMERA;NO
18;1;1;female;50;ADULTO;PRIMERA;SI
19;1;1;female;32;ADULTO;PRIMERA;SI
20;1;0;male;36;ADULTO;PRIMERA;NO
21;1;1;male;37;ADULTO;PRIMERA;SI
22;1;1;female;47;ADULTO;PRIMERA;SI
23;1;1;male;26;ADULTO;PRIMERA;SI
24;1;1;female;42;ADULTO;PRIMERA;SI
25;1;1;female;29;ADULTO;PRIMERA;SI
26;1;0;male;25;ADULTO;PRIMERA;NO
27;1;1;male;25;ADULTO;PRIMERA;SI
28;1;1;female;19;ADULTO;PRIMERA;SI
29;1;1;female;35;ADULTO;PRIMERA;SI
30;1;1;male;28;ADULTO;PRIMERA;SI
31;1;0;male;45;ADULTO;PRIMERA;NO
32;1;1;male;40;ADULTO;PRIMERA;SI
33;1;1;female;30;ADULTO;PRIMERA;SI
34;1;1;female;58;ADULTO;PRIMERA;SI
35;1;0;male;42;ADULTO;PRIMERA;NO
36;1;1;female;45;ADULTO;PRIMERA;SI
37;1;1;female;22;ADULTO;PRIMERA;SI
38;1;1;male;0;ADULTO;PRIMERA;SI
39;1;0;male;41;ADULTO;PRIMERA;NO
40;1;0;male;48;ADULTO;PRIMERA;NO
41;1;0;male;0;ADULTO;PRIMERA;NO
42;1;1;female;44;ADULTO;PRIMERA;SI
43;1;1;female;59;ADULTO;PRIMERA;SI
44;1;1;female;60;ADULTO;PRIMERA;SI
45;1;1;female;41;ADULTO;PRIMERA;SI
46;1;0;male;45;ADULTO;PRIMERA;NO
47;1;0;male;0;ADULTO;PRIMERA;NO
48;1;1;male;42;ADULTO;PRIMERA;SI
49;1;1;female;53;ADULTO;PRIMERA;SI
50;1;1;male;36;ADULTO;PRIMERA;SI
51;1;1;female;58;ADULTO;PRIMERA;SI
52;1;0;male;33;ADULTO;PRIMERA;NO
53;1;0;male;28;ADULTO;PRIMERA;NO
54;1;0;male;17;MENOR;PRIMERA;NO
55;1;1;male;11;MENOR;PRIMERA;SI
56;1;1;female;14;MENOR;PRIMERA;SI
57;1;1;male;36;ADULTO;PRIMERA;SI
58;1;1;female;36;ADULTO;PRIMERA;SI
59;1;0;male;49;ADULTO;PRIMERA;NO
60;1;1;female;0;ADULTO;PRIMERA;SI
61;1;0;male;36;ADULTO;PRIMERA;NO
62;1;1;female;76;ADULTO;PRIMERA;SI
63;1;0;male;46;ADULTO;PRIMERA;NO
64;1;1;female;47;ADULTO;PRIMERA;SI
65;1;1;male;27;ADULTO;PRIMERA;SI
66;1;1;female;33;ADULTO;PRIMERA;SI
67;1;1;female;36;ADULTO;PRIMERA;SI
68;1;1;female;30;ADULTO;PRIMERA;SI
69;1;1;male;45;ADULTO;PRIMERA;SI
70;1;1;female;0;ADULTO;PRIMERA;SI
71;1;0;male;0;ADULTO;PRIMERA;NO
72;1;0;male;27;ADULTO;PRIMERA;NO
73;1;1;female;26;ADULTO;PRIMERA;SI
74;1;1;female;22;ADULTO;PRIMERA;SI
75;1;0;male;0;ADULTO;PRIMERA;NO
76;1;0;male;47;ADULTO;PRIMERA;NO
77;1;1;female;39;ADULTO;PRIMERA;SI
78;1;0;male;37;ADULTO;PRIMERA;NO
79;1;1;female;64;ADULTO;PRIMERA;SI
80;1;1;female;55;ADULTO;PRIMERA;SI
81;1;0;male;0;ADULTO;PRIMERA;NO
82;1;0;male;70;ADULTO;PRIMERA;NO
83;1;1;female;36;ADULTO;PRIMERA;SI
84;1;1;female;64;ADULTO;PRIMERA;SI
85;1;0;male;39;ADULTO;PRIMERA;NO
86;1;1;female;38;ADULTO;PRIMERA;SI
87;1;1;male;51;ADULTO;PRIMERA;SI
88;1;1;male;27;ADULTO;PRIMERA;SI
89;1;1;female;33;ADULTO;PRIMERA;SI
90;1;0;male;31;ADULTO;PRIMERA;NO
91;1;1;female;27;ADULTO;PRIMERA;SI
92;1;1;male;31;ADULTO;PRIMERA;SI
93;1;1;female;17;MENOR;PRIMERA;SI
94;1;1;male;53;ADULTO;PRIMERA;SI
95;1;1;male;4;MENOR;PRIMERA;SI
96;1;1;female;54;ADULTO;PRIMERA;SI
97;1;0;male;50;ADULTO;PRIMERA;NO
98;1;1;female;27;ADULTO;PRIMERA;SI
99;1;1;female;48;ADULTO;PRIMERA;SI
100;1;1;female;48;ADULTO;PRIMERA;SI
101;1;1;male;49;ADULTO;PRIMERA;SI
102;1;0;male;39;ADULTO;PRIMERA;NO
103;1;1;female;23;ADULTO;PRIMERA;SI
104;1;1;female;38;ADULTO;PRIMERA;SI
105;1;1;female;54;ADULTO;PRIMERA;SI
106;1;0;female;36;ADULTO;PRIMERA;NO
107;1;0;male;0;ADULTO;PRIMERA;NO
108;1;1;female;0;ADULTO;PRIMERA;SI
109;1;1;female;0;ADULTO;PRIMERA;SI
110;1;1;male;36;ADULTO;PRIMERA;SI
111;1;0;male;30;ADULTO;PRIMERA;NO
112;1;1;female;24;ADULTO;PRIMERA;SI
113;1;1;female;28;ADULTO;PRIMERA;SI
114;1;1;female;23;ADULTO;PRIMERA;SI
115;1;0;male;19;ADULTO;PRIMERA;NO
116;1;0;male;64;ADULTO;PRIMERA;NO
117;1;1;female;60;ADULTO;PRIMERA;SI
118;1;1;female;30;ADULTO;PRIMERA;SI
119;1;0;male;0;ADULTO;PRIMERA;NO
120;1;1;male;50;ADULTO;PRIMERA;SI
121;1;1;male;43;ADULTO;PRIMERA;SI
122;1;1;female;0;ADULTO;PRIMERA;SI
123;1;1;female;22;ADULTO;PRIMERA;SI
124;1;1;male;60;ADULTO;PRIMERA;SI
125;1;1;female;48;ADULTO;PRIMERA;SI
126;1;0;male;0;ADULTO;PRIMERA;NO
127;1;0;male;37;ADULTO;PRIMERA;NO
128;1;1;female;35;ADULTO;PRIMERA;SI
129;1;0;male;47;ADULTO;PRIMERA;NO
130;1;1;female;35;ADULTO;PRIMERA;SI
131;1;1;female;22;ADULTO;PRIMERA;SI
132;1;1;female;45;ADULTO;PRIMERA;SI
133;1;0;male;24;ADULTO;PRIMERA;NO
134;1;1;male;49;ADULTO;PRIMERA;SI
135;1;1;female;0;ADULTO;PRIMERA;SI
136;1;0;male;71;ADULTO;PRIMERA;NO
137;1;1;male;53;ADULTO;PRIMERA;SI
138;1;1;female;19;ADULTO;PRIMERA;SI
139;1;0;male;38;ADULTO;PRIMERA;NO
140;1;1;female;58;ADULTO;PRIMERA;SI
141;1;1;male;23;ADULTO;PRIMERA;SI
142;1;1;female;45;ADULTO;PRIMERA;SI
143;1;0;male;46;ADULTO;PRIMERA;NO
144;1;1;male;25;ADULTO;PRIMERA;SI
145;1;1;female;25;ADULTO;PRIMERA;SI
146;1;1;male;48;ADULTO;PRIMERA;SI
147;1;1;female;49;ADULTO;PRIMERA;SI
148;1;0;male;0;ADULTO;PRIMERA;NO
149;1;0;male;45;ADULTO;PRIMERA;NO
150;1;1;female;35;ADULTO;PRIMERA;SI
151;1;0;male;40;ADULTO;PRIMERA;NO
152;1;1;male;27;ADULTO;PRIMERA;SI
153;1;1;male;0;ADULTO;PRIMERA;SI
154;1;1;female;24;ADULTO;PRIMERA;SI
155;1;0;male;55;ADULTO;PRIMERA;NO
156;1;1;female;52;ADULTO;PRIMERA;SI
157;1;0;male;42;ADULTO;PRIMERA;NO
158;1;0;male;0;ADULTO;PRIMERA;NO
159;1;0;male;55;ADULTO;PRIMERA;NO
160;1;1;female;16;MENOR;PRIMERA;SI
161;1;1;female;44;ADULTO;PRIMERA;SI
162;1;1;female;51;ADULTO;PRIMERA;SI
163;1;0;male;42;ADULTO;PRIMERA;NO
164;1;1;female;35;ADULTO;PRIMERA;SI
165;1;1;male;35;ADULTO;PRIMERA;SI
166;1;1;male;38;ADULTO;PRIMERA;SI
167;1;0;male;0;ADULTO;PRIMERA;NO
168;1;1;female;35;ADULTO;PRIMERA;SI
169;1;1;female;38;ADULTO;PRIMERA;SI
170;1;0;female;50;ADULTO;PRIMERA;NO
171;1;1;male;49;ADULTO;PRIMERA;SI
172;1;0;male;46;ADULTO;PRIMERA;NO
173;1;0;male;50;ADULTO;PRIMERA;NO
174;1;0;male;32;ADULTO;PRIMERA;NO
175;1;0;male;58;ADULTO;PRIMERA;NO
176;1;0;male;41;ADULTO;PRIMERA;NO
177;1;1;female;0;ADULTO;PRIMERA;SI
178;1;1;male;42;ADULTO;PRIMERA;SI
179;1;1;female;45;ADULTO;PRIMERA;SI
180;1;0;male;0;ADULTO;PRIMERA;NO
181;1;1;female;39;ADULTO;PRIMERA;SI
182;1;1;female;49;ADULTO;PRIMERA;SI
183;1;1;female;30;ADULTO;PRIMERA;SI
184;1;1;male;35;ADULTO;PRIMERA;SI
185;1;0;male;0;ADULTO;PRIMERA;NO
186;1;0;male;42;ADULTO;PRIMERA;NO
187;1;1;female;55;ADULTO;PRIMERA;SI
188;1;1;female;16;MENOR;PRIMERA;SI
189;1;1;female;51;ADULTO;PRIMERA;SI
190;1;0;male;29;ADULTO;PRIMERA;NO
191;1;1;female;21;ADULTO;PRIMERA;SI
192;1;0;male;30;ADULTO;PRIMERA;NO
193;1;1;female;58;ADULTO;PRIMERA;SI
194;1;1;female;15;MENOR;PRIMERA;SI
195;1;0;male;30;ADULTO;PRIMERA;NO
196;1;1;female;16;MENOR;PRIMERA;SI
197;1;1;male;0;ADULTO;PRIMERA;SI
198;1;0;male;19;ADULTO;PRIMERA;NO
199;1;1;female;18;ADULTO;PRIMERA;SI
200;1;1;female;24;ADULTO;PRIMERA;SI
201;1;0;male;46;ADULTO;PRIMERA;NO
202;1;0;male;54;ADULTO;PRIMERA;NO
203;1;1;male;36;ADULTO;PRIMERA;SI
204;1;0;male;28;ADULTO;PRIMERA;NO
205;1;1;female;0;ADULTO;PRIMERA;SI
206;1;0;male;65;ADULTO;PRIMERA;NO
207;1;0;male;44;ADULTO;PRIMERA;NO
208;1;1;female;33;ADULTO;PRIMERA;SI
209;1;1;female;37;ADULTO;PRIMERA;SI
210;1;1;male;30;ADULTO;PRIMERA;SI
211;1;0;male;55;ADULTO;PRIMERA;NO
212;1;0;male;47;ADULTO;PRIMERA;NO
213;1;0;male;37;ADULTO;PRIMERA;NO
214;1;1;female;31;ADULTO;PRIMERA;SI
215;1;1;female;23;ADULTO;PRIMERA;SI
216;1;0;male;58;ADULTO;PRIMERA;NO
217;1;1;female;19;ADULTO;PRIMERA;SI
218;1;0;male;64;ADULTO;PRIMERA;NO
219;1;1;female;39;ADULTO;PRIMERA;SI
220;1;1;male;0;ADULTO;PRIMERA;SI
221;1;1;female;22;ADULTO;PRIMERA;SI
222;1;0;male;65;ADULTO;PRIMERA;NO
223;1;0;male;28;ADULTO;PRIMERA;NO
224;1;0;male;0;ADULTO;PRIMERA;NO
225;1;0;male;45;ADULTO;PRIMERA;NO
226;1;0;male;23;ADULTO;PRIMERA;NO
227;1;0;male;29;ADULTO;PRIMERA;NO
228;1;1;female;22;ADULTO;PRIMERA;SI
229;1;0;male;18;ADULTO;PRIMERA;NO
230;1;1;female;17;MENOR;PRIMERA;SI
231;1;1;female;30;ADULTO;PRIMERA;SI
232;1;1;male;52;ADULTO;PRIMERA;SI
233;1;0;male;47;ADULTO;PRIMERA;NO
234;1;1;female;56;ADULTO;PRIMERA;SI
235;1;0;male;38;ADULTO;PRIMERA;NO
236;1;1;male;0;ADULTO;PRIMERA;SI
237;1;0;male;22;ADULTO;PRIMERA;NO
238;1;0;male;0;ADULTO;PRIMERA;NO
239;1;1;female;43;ADULTO;PRIMERA;SI
240;1;0;male;31;ADULTO;PRIMERA;NO
241;1;1;male;45;ADULTO;PRIMERA;SI
242;1;0;male;0;ADULTO;PRIMERA;NO
243;1;1;female;33;ADULTO;PRIMERA;SI
244;1;0;male;46;ADULTO;PRIMERA;NO
245;1;0;male;36;ADULTO;PRIMERA;NO
246;1;1;female;33;ADULTO;PRIMERA;SI
247;1;0;male;55;ADULTO;PRIMERA;NO
248;1;1;female;54;ADULTO;PRIMERA;SI
249;1;0;male;33;ADULTO;PRIMERA;NO
250;1;1;male;13;MENOR;PRIMERA;SI
251;1;1;female;18;ADULTO;PRIMERA;SI
252;1;1;female;21;ADULTO;PRIMERA;SI
253;1;0;male;61;ADULTO;PRIMERA;NO
254;1;1;female;48;ADULTO;PRIMERA;SI
255;1;1;male;0;ADULTO;PRIMERA;SI
256;1;1;female;24;ADULTO;PRIMERA;SI
257;1;1;male;0;ADULTO;PRIMERA;SI
258;1;1;female;35;ADULTO;PRIMERA;SI
259;1;1;female;30;ADULTO;PRIMERA;SI
260;1;1;male;34;ADULTO;PRIMERA;SI
261;1;1;female;40;ADULTO;PRIMERA;SI
262;1;1;male;35;ADULTO;PRIMERA;SI
263;1;0;male;50;ADULTO;PRIMERA;NO
264;1;1;female;39;ADULTO;PRIMERA;SI
265;1;1;male;56;ADULTO;PRIMERA;SI
266;1;1;male;28;ADULTO;PRIMERA;SI
267;1;0;male;56;ADULTO;PRIMERA;NO
268;1;0;male;56;ADULTO;PRIMERA;NO
269;1;0;male;24;ADULTO;PRIMERA;NO
270;1;0;male;0;ADULTO;PRIMERA;NO
271;1;1;female;18;ADULTO;PRIMERA;SI
272;1;1;male;24;ADULTO;PRIMERA;SI
273;1;1;female;23;ADULTO;PRIMERA;SI
274;1;1;male;6;MENOR;PRIMERA;SI
275;1;1;male;45;ADULTO;PRIMERA;SI
276;1;1;female;40;ADULTO;PRIMERA;SI
277;1;0;male;57;ADULTO;PRIMERA;NO
278;1;1;female;0;ADULTO;PRIMERA;SI
279;1;1;male;32;ADULTO;PRIMERA;SI
280;1;0;male;62;ADULTO;PRIMERA;NO
281;1;1;male;54;ADULTO;PRIMERA;SI
282;1;1;female;43;ADULTO;PRIMERA;SI
283;1;1;female;52;ADULTO;PRIMERA;SI
284;1;0;male;0;ADULTO;PRIMERA;NO
285;1;1;female;62;ADULTO;PRIMERA;SI
286;1;0;male;67;ADULTO;PRIMERA;NO
287;1;0;female;63;ADULTO;PRIMERA;NO
288;1;0;male;61;ADULTO;PRIMERA;NO
289;1;1;female;48;ADULTO;PRIMERA;SI
290;1;1;female;18;ADULTO;PRIMERA;SI
291;1;0;male;52;ADULTO;PRIMERA;NO
292;1;1;female;39;ADULTO;PRIMERA;SI
293;1;1;male;48;ADULTO;PRIMERA;SI
294;1;1;female;0;ADULTO;PRIMERA;SI
295;1;0;male;49;ADULTO;PRIMERA;NO
296;1;1;male;17;MENOR;PRIMERA;SI
297;1;1;female;39;ADULTO;PRIMERA;SI
298;1;1;female;0;ADULTO;PRIMERA;SI
299;1;1;male;31;ADULTO;PRIMERA;SI
300;1;0;male;40;ADULTO;PRIMERA;NO
301;1;0;male;61;ADULTO;PRIMERA;NO
302;1;0;male;47;ADULTO;PRIMERA;NO
303;1;1;female;35;ADULTO;PRIMERA;SI
304;1;0;male;64;ADULTO;PRIMERA;NO
305;1;1;female;60;ADULTO;PRIMERA;SI
306;1;0;male;60;ADULTO;PRIMERA;NO
307;1;0;male;54;ADULTO;PRIMERA;NO
308;1;0;male;21;ADULTO;PRIMERA;NO
309;1;1;female;55;ADULTO;PRIMERA;SI
310;1;1;female;31;ADULTO;PRIMERA;SI
311;1;0;male;57;ADULTO;PRIMERA;NO
312;1;1;female;45;ADULTO;PRIMERA;SI
313;1;0;male;50;ADULTO;PRIMERA;NO
314;1;0;male;27;ADULTO;PRIMERA;NO
315;1;1;female;50;ADULTO;PRIMERA;SI
316;1;1;female;21;ADULTO;PRIMERA;SI
317;1;0;male;51;ADULTO;PRIMERA;NO
318;1;1;male;21;ADULTO;PRIMERA;SI
319;1;0;male;0;ADULTO;PRIMERA;NO
320;1;1;female;31;ADULTO;PRIMERA;SI
321;1;1;male;0;ADULTO;PRIMERA;SI
322;1;0;male;62;ADULTO;PRIMERA;NO
323;1;1;female;36;ADULTO;PRIMERA;SI
324;2;0;male;30;ADULTO;SEGUNDA;NO
325;2;1;female;28;ADULTO;SEGUNDA;SI
326;2;0;male;30;ADULTO;SEGUNDA;NO
327;2;0;male;18;ADULTO;SEGUNDA;NO
328;2;0;male;25;ADULTO;SEGUNDA;NO
329;2;0;male;34;ADULTO;SEGUNDA;NO
330;2;1;female;36;ADULTO;SEGUNDA;SI
331;2;0;male;57;ADULTO;SEGUNDA;NO
332;2;0;male;18;ADULTO;SEGUNDA;NO
333;2;0;male;23;ADULTO;SEGUNDA;NO
334;2;1;female;36;ADULTO;SEGUNDA;SI
335;2;0;male;28;ADULTO;SEGUNDA;NO
336;2;0;male;51;ADULTO;SEGUNDA;NO
337;2;1;male;32;ADULTO;SEGUNDA;SI
338;2;1;female;19;ADULTO;SEGUNDA;SI
339;2;0;male;28;ADULTO;SEGUNDA;NO
340;2;1;male;1;MENOR;SEGUNDA;SI
341;2;1;female;4;MENOR;SEGUNDA;SI
342;2;1;female;12;MENOR;SEGUNDA;SI
343;2;1;female;36;ADULTO;SEGUNDA;SI
344;2;1;male;34;ADULTO;SEGUNDA;SI
345;2;1;female;19;ADULTO;SEGUNDA;SI
346;2;0;male;23;ADULTO;SEGUNDA;NO
347;2;0;male;26;ADULTO;SEGUNDA;NO
348;2;0;male;42;ADULTO;SEGUNDA;NO
349;2;0;male;27;ADULTO;SEGUNDA;NO
350;2;1;female;24;ADULTO;SEGUNDA;SI
351;2;1;female;15;MENOR;SEGUNDA;SI
352;2;0;male;60;ADULTO;SEGUNDA;NO
353;2;1;female;40;ADULTO;SEGUNDA;SI
354;2;1;female;20;ADULTO;SEGUNDA;SI
355;2;0;male;25;ADULTO;SEGUNDA;NO
356;2;1;female;36;ADULTO;SEGUNDA;SI
357;2;0;male;25;ADULTO;SEGUNDA;NO
358;2;0;male;42;ADULTO;SEGUNDA;NO
359;2;1;female;42;ADULTO;SEGUNDA;SI
360;2;1;male;0;MENOR;SEGUNDA;SI
361;2;1;male;26;ADULTO;SEGUNDA;SI
362;2;1;female;22;ADULTO;SEGUNDA;SI
363;2;1;female;35;ADULTO;SEGUNDA;SI
364;2;0;male;0;ADULTO;SEGUNDA;NO
365;2;0;male;19;ADULTO;SEGUNDA;NO
366;2;0;female;44;ADULTO;SEGUNDA;NO
367;2;0;male;54;ADULTO;SEGUNDA;NO
368;2;0;male;52;ADULTO;SEGUNDA;NO
369;2;0;male;37;ADULTO;SEGUNDA;NO
370;2;0;female;29;ADULTO;SEGUNDA;NO
371;2;1;female;25;ADULTO;SEGUNDA;SI
372;2;1;female;45;ADULTO;SEGUNDA;SI
373;2;0;male;29;ADULTO;SEGUNDA;NO
374;2;1;female;28;ADULTO;SEGUNDA;SI
375;2;0;male;29;ADULTO;SEGUNDA;NO
376;2;0;male;28;ADULTO;SEGUNDA;NO
377;2;1;male;24;ADULTO;SEGUNDA;SI
378;2;1;female;8;MENOR;SEGUNDA;SI
379;2;0;male;31;ADULTO;SEGUNDA;NO
380;2;1;female;31;ADULTO;SEGUNDA;SI
381;2;1;female;22;ADULTO;SEGUNDA;SI
382;2;0;female;30;ADULTO;SEGUNDA;NO
383;2;0;female;0;ADULTO;SEGUNDA;NO
384;2;0;male;21;ADULTO;SEGUNDA;NO
385;2;0;male;0;ADULTO;SEGUNDA;NO
386;2;1;male;8;MENOR;SEGUNDA;SI
387;2;0;male;18;ADULTO;SEGUNDA;NO
388;2;1;female;48;ADULTO;SEGUNDA;SI
389;2;1;female;28;ADULTO;SEGUNDA;SI
390;2;0;male;32;ADULTO;SEGUNDA;NO
391;2;0;male;17;MENOR;SEGUNDA;NO
392;2;0;male;29;ADULTO;SEGUNDA;NO
393;2;1;female;24;ADULTO;SEGUNDA;SI
394;2;0;male;25;ADULTO;SEGUNDA;NO
395;2;0;male;18;ADULTO;SEGUNDA;NO
396;2;1;female;18;ADULTO;SEGUNDA;SI
397;2;1;female;34;ADULTO;SEGUNDA;SI
398;2;0;male;54;ADULTO;SEGUNDA;NO
399;2;1;male;8;MENOR;SEGUNDA;SI
400;2;0;male;42;ADULTO;SEGUNDA;NO
401;2;1;female;34;ADULTO;SEGUNDA;SI
402;2;1;female;27;ADULTO;SEGUNDA;SI
403;2;1;female;30;ADULTO;SEGUNDA;SI
404;2;0;male;23;ADULTO;SEGUNDA;NO
405;2;0;male;21;ADULTO;SEGUNDA;NO
406;2;0;male;18;ADULTO;SEGUNDA;NO
407;2;0;male;40;ADULTO;SEGUNDA;NO
408;2;1;female;29;ADULTO;SEGUNDA;SI
409;2;0;male;18;ADULTO;SEGUNDA;NO
410;2;0;male;36;ADULTO;SEGUNDA;NO
411;2;0;male;0;ADULTO;SEGUNDA;NO
412;2;0;female;38;ADULTO;SEGUNDA;NO
413;2;0;male;35;ADULTO;SEGUNDA;NO
414;2;0;male;38;ADULTO;SEGUNDA;NO
415;2;0;male;34;ADULTO;SEGUNDA;NO
416;2;1;female;34;ADULTO;SEGUNDA;SI
417;2;0;male;16;MENOR;SEGUNDA;NO
418;2;0;male;26;ADULTO;SEGUNDA;NO
419;2;0;male;47;ADULTO;SEGUNDA;NO
420;2;0;male;21;ADULTO;SEGUNDA;NO
421;2;0;male;21;ADULTO;SEGUNDA;NO
422;2;0;male;24;ADULTO;SEGUNDA;NO
423;2;0;male;24;ADULTO;SEGUNDA;NO
424;2;0;male;34;ADULTO;SEGUNDA;NO
425;2;0;male;30;ADULTO;SEGUNDA;NO
426;2;0;male;52;ADULTO;SEGUNDA;NO
427;2;0;male;30;ADULTO;SEGUNDA;NO
428;2;1;male;0;MENOR;SEGUNDA;SI
429;2;1;female;24;ADULTO;SEGUNDA;SI
430;2;0;male;44;ADULTO;SEGUNDA;NO
431;2;1;female;6;MENOR;SEGUNDA;SI
432;2;0;male;28;ADULTO;SEGUNDA;NO
433;2;1;male;62;ADULTO;SEGUNDA;SI
434;2;0;male;30;ADULTO;SEGUNDA;NO
435;2;1;female;7;MENOR;SEGUNDA;SI
436;2;0;male;43;ADULTO;SEGUNDA;NO
